concept_id,code,source,datatype
1756,1756,local,Coded
1757,1757,local,Text
1758,1758,local,Numeric
1759,1759,local,N/A
1760,1760,local,N/A
1761,1761,local,N/A
1762,162546,MCL/CIEL,N/A
1762,1762,local,N/A
1763,1763,local,N/A
1764,162545,MCL/CIEL,N/A
1764,1764,local,N/A
1765,1765,local,N/A
1766,1766,local,N/A
1767,1767,local,N/A
1768,1768,local,N/A
1769,1769,local,Coded
1770,1770,local,N/A
1771,1771,local,N/A
1772,1772,local,N/A
1774,1774,local,N/A
1774,1385,MCL/CIEL,N/A
1775,1775,local,Numeric
1776,1776,local,N/A
1776,160538,MCL/CIEL,N/A
1777,1777,local,Date
1778,1778,local,Text
1779,1779,local,Text
1780,1780,local,Numeric
1781,1781,local,Numeric
1782,1782,local,Numeric
1783,1783,local,Numeric
1784,1784,local,Boolean
1785,1785,local,Date
1786,1786,local,Boolean
1787,1787,local,Coded
1788,1788,local,Date
1789,158358,MCL/CIEL,N/A
1789,1789,local,N/A
1790,1790,local,Coded
1791,1791,local,Numeric
1793,1793,local,N/A
1794,1794,local,N/A
1795,1795,local,Coded
1796,1796,local,Coded
1797,1797,local,Coded
1799,1799,local,N/A
1800,1800,local,N/A
1801,1801,local,Coded
1802,1802,local,Boolean
1803,1803,local,Boolean
1804,1804,local,N/A
1804,110809,MCL/CIEL,N/A
1805,5588,MCL/CIEL,N/A
1805,1805,local,N/A
1806,5589,MCL/CIEL,N/A
1806,1806,local,N/A
1807,1807,local,Coded
1808,1808,local,N/A
1809,1809,local,N/A
1810,1810,local,Coded
1811,1811,local,N/A
1812,1812,local,Coded
1813,1813,local,N/A
1814,1814,local,Coded
1815,1815,local,Boolean
1816,1816,local,Numeric
1818,1818,local,N/A
1819,1819,local,N/A
1820,1820,local,N/A
1821,1821,local,N/A
1822,1822,local,N/A
1823,1823,local,N/A
1824,1824,local,N/A
1825,1825,local,N/A
1826,1826,local,N/A
1827,1827,local,Coded
1828,1828,local,N/A
1828,117326,MCL/CIEL,N/A
1829,1829,local,N/A
1830,1830,local,N/A
1831,1622,MCL/CIEL,N/A
1831,1831,local,N/A
1832,160579,MCL/CIEL,N/A
1832,1832,local,N/A
1834,1834,local,Coded
1835,1835,local,Coded
1835,160288,MCL/CIEL,Coded
1836,1427,MCL/CIEL,Date
1836,1836,local,Date
1837,1837,local,N/A
1838,1838,local,N/A
1839,1839,local,Coded
1839,164181,MCL/CIEL,Coded
1840,162558,MCL/CIEL,Coded
1840,1840,local,Coded
1841,1841,local,Text
