concept_id,code,source,datatype,source_code
160581,160581,CIEL,Coded,160581CIEL
160582,160582,CIEL,Coded,160582CIEL
160593,160593,CIEL,N/A,160593CIEL
160596,160596,CIEL,Coded,160596CIEL
1712,1605,AMPATH,Coded,1605AMPATH
160602,160602,CIEL,Date,160602CIEL
160617,160617,CIEL,Numeric,160617CIEL
160632,160632,CIEL,Text,160632CIEL
160638,160638,CIEL,Text,160638CIEL
160640,160640,CIEL,Coded,160640CIEL
160641,160641,CIEL,Text,160641CIEL
160642,160642,CIEL,Text,160642CIEL
160643,160643,CIEL,Coded,160643CIEL
160644,160644,CIEL,Text,160644CIEL
160647,160647,CIEL,N/A,160647CIEL
160648,160648,CIEL,N/A,160648CIEL
160649,160649,CIEL,Date,160649CIEL
160653,160653,CIEL,Coded,160653CIEL
160658,160658,CIEL,Coded,160658CIEL
160738,160738,CIEL,Date,160738CIEL
160739,160739,CIEL,Date,160739CIEL
160740,160740,CIEL,N/A,160740CIEL
160741,160741,CIEL,N/A,160741CIEL
160750,160750,CIEL,Text,160750CIEL
160752,160752,CIEL,Text,160752CIEL
160753,160753,CIEL,Date,160753CIEL
160759,160759,CIEL,Coded,160759CIEL
160855,160855,CIEL,Coded,160855CIEL
161033,161033,CIEL,Coded,161033CIEL
161356,161356,CIEL,Coded,161356CIEL
161357,161357,CIEL,N/A,161357CIEL
161358,161358,CIEL,N/A,161358CIEL
161360,161360,CIEL,N/A,161360CIEL
161438,161438,CIEL,Numeric,161438CIEL
161440,161440,CIEL,Coded,161440CIEL
161442,161442,CIEL,Coded,161442CIEL
161446,161446,CIEL,N/A,161446CIEL
161551,161551,CIEL,Text,161551CIEL
161555,161555,CIEL,Coded,161555CIEL
161557,161557,CIEL,Coded,161557CIEL
161558,161558,CIEL,Coded,161558CIEL
161559,161559,CIEL,N/A,161559CIEL
161561,161561,CIEL,Date,161561CIEL
161564,161564,CIEL,Text,161564CIEL
161601,161601,CIEL,Coded,161601CIEL
161630,161630,CIEL,Coded,161630CIEL
161642,161642,CIEL,N/A,161642CIEL
161643,161643,CIEL,Coded,161643CIEL
161652,161652,CIEL,Coded,161652CIEL
161654,161654,CIEL,Numeric,161654CIEL
161655,161655,CIEL,Numeric,161655CIEL
5599,161714006,"SNOMED CT",Datetime,"161714006SNOMED CT"
5624,161732006,"SNOMED CT",Numeric,"161732006SNOMED CT"
161879,161879,CIEL,N/A,161879CIEL
161881,161881,CIEL,N/A,161881CIEL
161888,161888,CIEL,N/A,161888CIEL
1619,1619,CIEL,Coded,1619CIEL
162053,162053,CIEL,Numeric,162053CIEL
162055,162055,CIEL,Coded,162055CIEL
162064,162064,CIEL,Coded,162064CIEL
162066,162066,CIEL,Coded,162066CIEL
162069,162069,CIEL,Coded,162069CIEL
162077,162077,CIEL,Coded,162077CIEL
162084,162084,CIEL,Coded,162084CIEL
162085,162085,CIEL,N/A,162085CIEL
162095,162095,CIEL,Boolean,162095CIEL
162096,162096,CIEL,Coded,162096CIEL
162140,162140,CIEL,Datetime,162140CIEL
162202,162202,CIEL,Coded,162202CIEL
162225,162225,CIEL,Coded,162225CIEL
162227,162227,CIEL,Date,162227CIEL
162229,162229,CIEL,Coded,162229CIEL
162230,162230,CIEL,Coded,162230CIEL
162240,162240,CIEL,Coded,162240CIEL
162241,162241,CIEL,N/A,162241CIEL
162242,162242,CIEL,N/A,162242CIEL
162275,162275,CIEL,Coded,162275CIEL
162309,162309,CIEL,Coded,162309CIEL
1729,162408000,"SNOMED NP",Coded,"162408000SNOMED NP"
162549,162549,CIEL,Date,162549CIEL
162695,162695,CIEL,Coded,162695CIEL
162724,162724,CIEL,Text,162724CIEL
162737,162737,CIEL,Coded,162737CIEL
162747,162747,CIEL,Coded,162747CIEL
162760,162760,CIEL,Coded,162760CIEL
162877,162877,CIEL,Coded,162877CIEL
163089,163089,CIEL,Coded,163089CIEL
163104,163104,CIEL,Text,163104CIEL
163164,163164,CIEL,Coded,163164CIEL
163201,163201,CIEL,Coded,163201CIEL
163281,163281,CIEL,Date,163281CIEL
163300,163300,CIEL,Coded,163300CIEL
163414,163414,CIEL,Coded,163414CIEL
163607,163607,CIEL,Coded,163607CIEL
163752,163752,CIEL,Coded,163752CIEL
163766,163766,CIEL,Coded,163766CIEL
1638,16381000105000,"SNOMED MVP",N/A,"16381000105000SNOMED MVP"
1638,1638,CIEL,N/A,1638CIEL
162066,164011009,"SNOMED CT",Coded,"164011009SNOMED CT"
164073,164073,CIEL,Date,164073CIEL
164074,164074,CIEL,Date,164074CIEL
164075,164075,CIEL,Coded,164075CIEL
1120,164320006,"SNOMED CT",Coded,"164320006SNOMED CT"
164360,164360,CIEL,Coded,164360CIEL
164425,164425,CIEL,Coded,164425CIEL
164500,164500,CIEL,Coded,164500CIEL
1647,1647,CIEL,Numeric,1647CIEL
164855,164855,CIEL,Coded,164855CIEL
164886,164886,CIEL,Coded,164886CIEL
160540,1650,PIH,Coded,1650PIH
1271,165332000,"SNOMED CT",Coded,"165332000SNOMED CT"
1169,165816005,"SNOMED CT",Coded,"165816005SNOMED CT"
1658,1658,CIEL,Coded,1658CIEL
1659,1659,CIEL,Coded,1659CIEL
121764,1664,AMPATH,Boolean,1664AMPATH
1667,1667,CIEL,Coded,1667CIEL
161442,167285005,"SNOMED CT",Coded,"167285005SNOMED CT"
161438,167305006,"SNOMED CT",Numeric,"167305006SNOMED CT"
1048,1688,AMPATH,Boolean,1688AMPATH
1712,1688,PIH,Coded,1688PIH
1691,1691,CIEL,Boolean,1691CIEL
1572,169812000,"SNOMED NP",Coded,"169812000SNOMED NP"
162069,170089007,"SNOMED CT",Coded,"170089007SNOMED CT"
160568,170564007,"SNOMED CT",Coded,"170564007SNOMED CT"
160562,170564007,"SNOMED NP",Coded,"170564007SNOMED NP"
160557,1705,PIH,Boolean,1705PIH
1379,170977008,"SNOMED NP",Coded,"170977008SNOMED NP"
1712,1712,CIEL,Coded,1712CIEL
1727,1727,CIEL,N/A,1727CIEL
1728,1728,CIEL,Coded,1728CIEL
1729,1729,CIEL,Coded,1729CIEL
121760,1729,PIH,N/A,1729PIH
1732,1732,CIEL,Coded,1732CIEL
654,1742-6,LOINC,Numeric,1742-6LOINC
5624,1755,PIH,Numeric,1755PIH
5272,1755,"PIH Malawi",Coded,"1755PIH Malawi"
1758,1758,CIEL,Coded,1758CIEL
160562,1779,PIH,Coded,1779PIH
160568,1780,PIH,Coded,1780PIH
1543,1815,PIH,Date,1815PIH
159098,1819180,"IMO ProblemIT",Coded,"1819180IMO ProblemIT"
1823,1823,CIEL,Numeric,1823CIEL
1758,182833002,"SNOMED NP",Coded,"182833002SNOMED NP"
966,182929008,"SNOMED NP",Coded,"182929008SNOMED NP"
1427,1836,AMPATH,Date,1836AMPATH
5596,1854,AMPATH,Date,1854AMPATH
1855,1855,CIEL,Boolean,1855CIEL
161446,18729-4,LOINC,N/A,18729-4LOINC
159368,1897,AMPATH,Numeric,1897AMPATH
160632,1915,AMPATH,Text,1915AMPATH
1272,1932,AMPATH,Coded,1932AMPATH
